  3.861 	DownBeat
  4.231 	Beat
  4.590 	Beat
  4.949 	Beat
  5.285 	DownBeat
  5.609 	Beat
  5.934 	Beat
  6.262 	Beat
  6.595 	DownBeat
  6.929 	Beat
  7.262 	Beat
  7.595 	Beat
  7.929 	DownBeat
  8.264 	Beat
  8.600 	Beat
  8.936 	Beat
  9.267 	DownBeat
  9.599 	Beat
  9.930 	Beat
 10.262 	Beat
 10.595 	DownBeat
 10.929 	Beat
 11.259 	Beat
 11.591 	Beat
 11.922 	DownBeat
 12.254 	Beat
 12.587 	Beat
 12.921 	Beat
 13.254 	DownBeat
 13.587 	Beat
 13.921 	Beat
 14.254 	Beat
 14.587 	DownBeat
 14.921 	Beat
 15.254 	Beat
 15.587 	Beat
 15.921 	DownBeat
 16.254 	Beat
 16.587 	Beat
 16.921 	Beat
 17.254 	DownBeat
 17.587 	Beat
 17.921 	Beat
 18.256 	Beat
 18.592 	DownBeat
 18.928 	Beat
 19.262 	Beat
 19.595 	Beat
 19.929 	DownBeat
 20.259 	Beat
 20.591 	Beat
 20.922 	Beat
 21.254 	DownBeat
 21.587 	Beat
 21.921 	Beat
 22.251 	Beat
 22.583 	DownBeat
 22.914 	Beat
 23.248 	Beat
 23.584 	Beat
 23.920 	DownBeat
 24.254 	Beat
 24.587 	Beat
 24.921 	Beat
 25.254 	DownBeat
 25.587 	Beat
 25.921 	Beat
 26.256 	Beat
 26.592 	DownBeat
 26.928 	Beat
 27.262 	Beat
 27.595 	Beat
 27.929 	DownBeat
 28.262 	Beat
 28.595 	Beat
 28.929 	Beat
 29.262 	DownBeat
 29.595 	Beat
 29.929 	Beat
 30.262 	Beat
 30.595 	DownBeat
 30.929 	Beat
 31.264 	Beat
